uf,br,total_acidentes,acidentes_fatais,total_mortos,perc_fatais
GO,50,159,10,14,6.29
MG,267,130,10,11,7.69
BA,418,37,5,7,13.51
MS,419,11,1,1,9.09
RO,0,4,0,0,0.0
RS,480,7,0,0,0.0
BA,116,1038,110,126,10.6
MG,153,269,23,28,8.55
BA,20,48,9,10,18.75
RS,293,110,10,16,9.09
PR,158,99,9,12,9.09
BA,415,63,2,4,3.17
SC,163,135,4,5,2.96
AC,317,52,11,11,21.15
PR,487,43,4,8,9.3
SC,480,58,3,3,5.17
MA,330,5,3,9,60.0
AC,0,3,0,0,0.0
AC,307,5,0,0,0.0
TO,153,482,60,75,12.45
AM,174,73,8,9,10.96
GO,80,78,8,8,10.26
PA,155,55,7,8,12.73
SP,459,29,1,2,3.45
RO,425,32,2,2,6.25
PA,0,12,0,0,0.0
MS,436,5,0,0,0.0
RJ,354,6,0,0,0.0
ES,447,8,2,2,25.0
SP,0,9,0,0,0.0
PB,0,5,0,0,0.0
PB,110,1,0,0,0.0
BA,430,1,0,0,0.0
PR,116,1113,45,47,4.04
SC,153,71,7,10,9.86
RJ,40,1071,32,34,2.99
BA,324,942,56,63,5.94
DF,40,124,2,2,1.61
AL,101,254,29,31,11.42
BA,242,256,50,69,19.53
RS,101,137,7,7,5.11
RJ,465,250,4,4,1.6
MG,364,45,2,2,4.44
PI,407,37,14,15,37.84
